Company Name,Post,Job location,Company Rating,Post Date,Job location city
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",4.0 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,4.0 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.8 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",3.4 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,3.7 of stars rating,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",4.1 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.8 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",3.4 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",3.7 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",3.7 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",4.0 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",3.9 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",3.8 of stars rating,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",3.1 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",3.9 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",4.3 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",3.7 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",4.0 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",3.8 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,3.9 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.8 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,3.1 of stars rating,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",3.9 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",3.5 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",4.3 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",4.0 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",3.8 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",3.8 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",3.8 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,3.8 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.8 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",3.1 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,3.5 of stars rating,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",4.3 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",3.7 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",4.0 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",4.0 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",4.0 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",3.4 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,4.0 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.7 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",3.7 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,4.0 of stars rating,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",3.8 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",3.4 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.7 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",3.7 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",4.1 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",4.0 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",3.8 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",3.4 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,3.7 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",3.7 of stars rating,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",4.1 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.8 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",3.4 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",4.0 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",3.7 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",3.7 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",4.0 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",3.9 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",3.8 of stars rating,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",3.1 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",3.9 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.5 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",4.3 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",3.7 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",4.0 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",3.8 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",3.8 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,4.0 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",4.0 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",3.8 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",3.4 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,3.7 of stars rating,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",3.7 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",4.0 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",4.1 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",3.8 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",3.8 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",3.8 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",3.1 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,3.9 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.5 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",4.3 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,3.8 of stars rating,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",4.0 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.4 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",4.0 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",3.7 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",3.7 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",4.1 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,3.4 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",4.0 of stars rating,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",3.7 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",3.7 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",4.1 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",4.0 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",3.4 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",3.7 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,4.1 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,4.0 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",4.0 of stars rating,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",3.8 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",3.4 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",4.0 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",3.7 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",4.0 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",4.1 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",4.0 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",4.0 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,3.8 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.4 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",3.7 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,4.0 of stars rating,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",4.1 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",4.0 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.4 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",4.0 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",3.7 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",3.7 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",4.1 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,3.8 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,3.4 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",4.0 of stars rating,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",3.7 of stars rating,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",3.7 of stars rating,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",4.0 of stars rating,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",4.0 of stars rating,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",4.0 of stars rating,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",3.8 of stars rating,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",3.4 of stars rating,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",4.0 of stars rating,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,3.7 of stars rating,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",3.7 of stars rating,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",4.0 of stars rating,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",4.1 of stars rating,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",4.0 of stars rating,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,4.0 of stars rating,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",3.4 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",3.7 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.7 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",4.0 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",4.1 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",4.0 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",3.8 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",3.4 of stars rating,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,3.7 of stars rating,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,3.7 of stars rating,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",4.0 of stars rating,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",4.1 of stars rating,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",4.0 of stars rating,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",4.0 of stars rating,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",3.8 of stars rating,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",3.4 of stars rating,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",4.0 of stars rating,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",3.7 of stars rating,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",3.7 of stars rating,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",4.0 of stars rating,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",4.1 of stars rating,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",3.9 of stars rating,Posted30+ days ago,Bengaluru
